x,y,z,intensity,timestamp,frame_id
-1.8311562538146973,-4.642313797376119e-06,-0.4906560778617859,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.8316154479980469,-0.11640730500221252,-0.49176931381225586,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.8312160968780518,-0.2337031215429306,-0.4946518540382385,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.8296427726745605,-0.35263970494270325,-0.49927330017089844,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.8263968229293823,-0.47388967871665955,-0.5055858492851257,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.7362720966339111,-0.5702519416809082,-0.4896816611289978,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.7288458347320557,-0.6921309232711792,-0.49898606538772583,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.7271097898483276,-0.8221136331558228,-0.5125306844711304,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.6392234563827515,-0.912045419216156,-0.5026365518569946,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.5654010772705078,-1.0060282945632935,-0.4985988736152649,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.4932502508163452,-1.0994634628295898,-0.4968709945678711,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.4206401109695435,-1.1920655965805054,-0.4969159662723541,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.3656827211380005,-1.3021833896636963,-0.5056195259094238,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.2618340253829956,-1.3661390542984009,-0.4983099102973938,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.152801275253296,-1.418990135192871,-0.48987632989883423,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.060843586921692,-1.4897558689117432,-0.4900432527065277,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.9682344198226929,-1.5605069398880005,-0.4920826554298401,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.8804912567138672,-1.6433733701705933,-0.4995603859424591,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.7901449799537659,-1.7301898002624512,-0.5096584558486938,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.6613306403160095,-1.7310445308685303,-0.4965282380580902,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.5666812062263489,-1.8224767446517944,-0.5113926529884338,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.44331711530685425,-1.827399492263794,-0.5038520097732544,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.3227035105228424,-1.8301706314086914,-0.4979568421840668,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.2042439579963684,-1.8314096927642822,-0.4937662184238434,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.08724401891231537,-1.8315712213516235,-0.4913237690925598,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.029063917696475983,-1.8313391208648682,-0.49076688289642334,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.1456165909767151,-1.831602931022644,-0.4923243522644043,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.2632545530796051,-1.8309475183486938,-0.49564528465270996,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.3827097713947296,-1.8290095329284668,-0.5006946325302124,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.5046312212944031,-1.8252489566802979,-0.5074207782745361,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.6004033088684082,-1.7347407341003418,-0.49187469482421875,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.7231384515762329,-1.72640061378479,-0.5015289187431335,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.8133215308189392,-1.6410328149795532,-0.4907546639442444,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.9438039064407349,-1.6347101926803589,-0.505780816078186,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.0376522541046143,-1.5596383810043335,-0.5019443035125732,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.1308974027633667,-1.4859768152236938,-0.500358521938324,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.2320597171783447,-1.4218682050704956,-0.504119873046875,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.2825441360473633,-1.3030530214309692,-0.48990437388420105,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.366039514541626,-1.2221568822860718,-0.49113860726356506,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.4887322187423706,-1.1707484722137451,-0.5074765682220459,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.5640721321105957,-1.0767816305160522,-0.5088050961494446,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.6403136253356934,-0.9820578098297119,-0.5122706294059753,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.6374255418777466,-0.8441486954689026,-0.49361878633499146,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.7329641580581665,-0.7584209442138672,-0.5068672895431519,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.7330063581466675,-0.6307603120803833,-0.4941581189632416,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.823950171470642,-0.5355578064918518,-0.5093576312065125,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.8282690048217773,-0.4129306674003601,-0.5022220611572266,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.8306057453155518,-0.2929156422615051,-0.4967482388019562,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.8315401077270508,-0.17488902807235718,-0.49299120903015137,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.8314820528030396,-0.05813666433095932,-0.4909905791282654,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.831481695175171,0.05814005061984062,-0.4909905195236206,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.8315401077270508,0.17489245533943176,-0.49299129843711853,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.8306055068969727,0.2929190993309021,-0.49674832820892334,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.8282692432403564,0.41293421387672424,-0.5022222995758057,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.8239500522613525,0.5355614423751831,-0.5093578696250916,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.7330063581466675,0.6307638883590698,-0.49415844678878784,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.7329639196395874,0.7584246397018433,-0.5068675875663757,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.6374247074127197,0.8441521525382996,-0.49361905455589294,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.6403131484985352,0.9820616841316223,-0.5122710466384888,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.564071536064148,1.0767853260040283,-0.508805513381958,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.4887315034866333,1.1707522869110107,-0.5074770450592041,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.3660386800765991,1.2221606969833374,-0.49113914370536804,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.2825456857681274,1.3030593395233154,-0.4899058938026428,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.2320611476898193,1.4218751192092896,-0.5041215419769287,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.1308985948562622,1.485984206199646,-0.5003602504730225,0.0,817.4,lidar_model/lidar_link/gpu_lidar
1.0376529693603516,1.5596457719802856,-0.5019460320472717,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.9438043832778931,1.6347177028656006,-0.5057826042175293,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.813321590423584,1.641040325164795,-0.49075645208358765,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.7231377959251404,1.726407766342163,-0.5015305876731873,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.6004021763801575,1.7347475290298462,-0.4918763339519501,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.5046297311782837,1.8252562284469604,-0.5074225664138794,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.38270777463912964,1.8290164470672607,-0.5006963014602661,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.2632521986961365,1.8309541940689087,-0.49564695358276367,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.14561380445957184,1.8316092491149902,-0.492326021194458,0.0,817.4,lidar_model/lidar_link/gpu_lidar
0.029060741886496544,1.8313453197479248,-0.49076855182647705,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.08724755048751831,1.8315765857696533,-0.4913251996040344,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.2042478322982788,1.831414818763733,-0.49376770853996277,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.32270774245262146,1.8301753997802734,-0.49795833230018616,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.44332170486450195,1.8274041414260864,-0.503853440284729,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.5666860938072205,1.8224810361862183,-0.511394202709198,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.6613354682922363,1.7310478687286377,-0.49652954936027527,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.7901501655578613,1.7301928997039795,-0.5096597671508789,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.8804965019226074,1.6433756351470947,-0.4995615482330322,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-0.9682393074035645,1.5605080127716064,-0.4920836091041565,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.060848355293274,1.489756464958191,-0.49004411697387695,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.1528061628341675,1.4189906120300293,-0.48987722396850586,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.2618385553359985,1.3661388158798218,-0.4983106851577759,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.365688681602478,1.3021841049194336,-0.5056207776069641,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.4206457138061523,1.1920655965805054,-0.49691712856292725,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.4932557344436646,1.0994629859924316,-0.49687209725379944,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.5654064416885376,1.0060275793075562,-0.49859997630119324,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.6392282247543335,0.9120439291000366,-0.5026374459266663,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.7271145582199097,0.8221119046211243,-0.5125316381454468,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.7288494110107422,0.6921285390853882,-0.49898672103881836,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.7362748384475708,0.5702491998672485,-0.4896821677684784,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.826399326324463,0.4738866090774536,-0.5055863261222839,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.829644799232483,0.3526364862918854,-0.49927371740341187,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.8312174081802368,0.2336997389793396,-0.4946520924568176,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.8316161632537842,0.11640384793281555,-0.4917694330215454,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-1.8311562538146973,1.149660192822921e-06,-0.4906560778617859,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-5.817579746246338,-1.4748621651961002e-05,-0.5089715719223022,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-5.819918632507324,-0.3698817193508148,-0.5102035403251648,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-5.820897579193115,-0.74287348985672,-0.5133923292160034,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-5.819417476654053,-1.1216166019439697,-0.5185026526451111,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-5.8137335777282715,-1.5084718465805054,-0.5254776477813721,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-5.8282999992370605,-1.9142156839370728,-0.5367071032524109,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-4.922881126403809,-1.9708398580551147,-0.46392834186553955,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-4.925967693328857,-2.344787359237671,-0.47729939222335815,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-4.920079708099365,-2.7374768257141113,-0.49259206652641296,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-4.935067653656006,-3.1715948581695557,-0.5132372975349426,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-4.934503555297852,-3.6332197189331055,-0.536109983921051,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-4.260911464691162,-3.575350284576416,-0.4866321384906769,0.0,817.4,lidar_model/lidar_link/gpu_lidar
-4.281427383422852,-4.0823564529418945,-0.5175614953041077,0.0,817.4,lidar_model/lidar_link/gpu_lidar
